Column1,店,日,時台,RECNO,加工ｺｰﾄﾞ,性別,年代,部門,AU,ﾗｲﾝ,ｸﾗｽ,JANｺｰﾄﾞ,商品名,規格名,売上数量,売上金額,見切数量,見切金額,特売数量,特売金額,ﾁﾗｼ,税抜定番売価
154,263,20170921,9,R20170921-30073907,P9RW20FGHHS,女性,30代,1210,215,1,1,J49698534     ,日清  どん兵衛肉うどんミニ,４１ｇ,1,94,0,0,0,0,0,95
155,263,20170921,9,R20170921-30073907,P9RW20FGHHS,女性,30代,1110,110,3,3,J4985761100014,ブナシメジ,,1,97,0,0,0,0,0,98
156,263,20170921,9,R20170921-30073908,P4PL70GEDHS,男性,60代,1140,152,1,3,J0257009000000,ロールイカキリミ（ダイ）,,1,97,0,0,0,0,0,98
157,263,20170921,9,R20170921-30073908,P4PL70GEDHS,男性,60代,1120,123,8,1,J0283200000000,合挽きミンチ（解凍）,１００ｇ,1,87,0,0,0,0,0,1
158,263,20170921,9,R20170921-30073908,P4PL70GEDHS,男性,60代,1110,110,6,1,J0400100017579,玉ねぎ,,2,57,0,0,0,0,0,29
159,263,20170921,9,R20170921-30073908,P4PL70GEDHS,男性,60代,1120,127,9,1,J4902115206710,中華名菜  甘酢肉だんご,２７０ｇ,1,284,0,0,0,0,0,285
160,263,20170921,9,R20170921-30073908,P4PL70GEDHS,男性,60代,1150,162,3,3,J4902160211462,くらしモア  海藻とこんにゃくサラダ,９８ｇ,1,94,0,0,0,0,0,95
161,263,20170921,9,R20170921-30073908,P4PL70GEDHS,男性,60代,1150,162,1,7,J4902553044066,ふじっ子  麻婆豆腐の素  （中辛）,１９５ｇ,1,151,0,0,0,0,0,151
162,263,20170921,9,R20170921-30073908,P4PL70GEDHS,男性,60代,1120,126,9,6,J4902715458007,燻製屋ウインナー,１７０ｇ,1,268,0,0,1,102,0,371
163,263,20170921,9,R20170921-30073908,P4PL70GEDHS,男性,60代,1210,218,1,1,J4903307598446,理研  スーパードレ青じそ,１９０ｍｌ,1,151,0,0,0,0,0,151
164,263,20170921,9,R20170921-30073908,P4PL70GEDHS,男性,60代,1110,110,3,5,J4908380384023,エノキ  （大）,,1,68,0,0,0,0,0,68
165,263,20170921,9,R20170921-30073908,P4PL70GEDHS,男性,60代,1150,168,3,3,J4955819702064,めん楽  パックたぬきそば,１パック,1,82,0,0,1,14,0,97
166,263,20170921,9,R20170921-30073908,P4PL70GEDHS,男性,60代,1150,162,1,1,J4975645001483,ナカシタ  御豆冨,４００ｇ,1,155,0,0,0,0,0,155
167,263,20170921,9,R20170921-30073908,P4PL70GEDHS,男性,60代,1150,163,2,1,J4977865041119,増子  かつおロイヤル,１本入り,1,188,0,0,0,0,0,188
168,263,20170921,9,R20170921-30073910,P7WS70HFJHS,女性,40代,1140,152,2,3,J0254303000000,串揚げ  ばら売り,,3,165,0,0,3,127,0,98
169,263,20170921,9,R20170921-30073910,P7WS70HFJHS,女性,40代,1150,170,1,4,J4589988972548,ロピア  絹ごし和栗プリン,１個,1,77,1,19,0,0,0,97
170,263,20170921,9,R20170921-30073910,P7WS70HFJHS,女性,40代,1150,170,1,1,J4901112680370,ダノン  ダノンヨーグルトバニラ風味,７５ｇ×４,1,97,0,0,1,40,0,138
171,263,20170921,9,R20170921-30073910,P7WS70HFJHS,女性,40代,1150,172,3,1,J4902160212001,くらしモア  さわやかソフトバター風味,２８０ｇ,1,157,0,0,1,31,0,189
172,263,20170921,9,R20170921-30073910,P7WS70HFJHS,女性,40代,1150,173,1,1,J4902410209744,フジネオバターロール,６個入,1,147,0,0,1,40,0,188
173,263,20170921,9,R20170921-30073910,P7WS70HFJHS,女性,40代,1150,173,1,2,J4902410661535,フジ  ホイップさつまいもドーナツ,１個,1,100,0,0,1,7,0,108
174,263,20170921,9,R20170921-30073910,P7WS70HFJHS,女性,40代,1150,164,4,3,J4902705002142,明治エッセルクッキーバニラ,２００ｍｌ,1,88,0,0,1,14,0,103
175,263,20170921,9,R20170921-30073910,P7WS70HFJHS,女性,40代,1150,164,4,3,J4902720130202,森乳ＭＯＷエチオピアモカコーヒー,１４０ｍｌ,1,75,0,0,1,27,0,103
176,263,20170921,9,R20170921-30073910,P7WS70HFJHS,女性,40代,1210,217,1,2,J4902902146007,マロニー  サラダに！マロニーちゃん,７０ｇ,1,138,0,0,0,0,0,138
177,263,20170921,9,R20170921-30073910,P7WS70HFJHS,女性,40代,1150,173,1,0,J4903110028840,ヤマザキ  ピュアモーニング,６枚切,1,94,0,0,0,0,0,95
178,263,20170921,9,R20170921-30073910,P7WS70HFJHS,女性,40代,1150,173,1,2,J4903110039921,ヤマザキ薄皮巨峰ゼリー入り巨峰クリー,５個入,1,107,0,0,1,30,0,138
179,263,20170921,9,R20170921-30073910,P7WS70HFJHS,女性,40代,1150,170,1,4,J4903110261889,ＭＨＣ  シュークリーム（ツイン）,１個,1,72,1,18,1,3,0,95
180,263,20170921,9,R20170921-30073910,P7WS70HFJHS,女性,40代,1150,173,1,2,J4903110476948,ヤマザキマーガリンサンドブール,１個入,1,78,1,19,1,10,0,108
181,263,20170921,9,R20170921-30073910,P7WS70HFJHS,女性,40代,1110,110,0,7,J4908380338101,チンゲンサイ,,1,79,1,78,0,0,0,158
182,263,20170921,9,R20170921-30073910,P7WS70HFJHS,女性,40代,1110,110,3,5,J4908380384023,エノキ  （大）,,1,68,0,0,0,0,0,68
183,263,20170921,9,R20170921-30073910,P7WS70HFJHS,女性,40代,1110,110,3,3,J4985761400008,ホクトぶなしめじダブルパック,１フクロ,1,157,0,0,0,0,0,158
