,Unnamed: 0,店,日,時台,RECNO,加工ｺｰﾄﾞ,性別,年代,部門,AU,ﾗｲﾝ,ｸﾗｽ,JANｺｰﾄﾞ,商品名,規格名,売上数量,売上金額,見切数量,見切金額,特売数量,特売金額,ﾁﾗｼ,税抜定番売価
1756,1756,263,20170921,10,R20170921-30107481,P0MM00FHDHS,女性,70代,1130,191,3,6,J0232230000000,タチウオ,,1,695,0,0,1,2,0,380
1757,1757,263,20170921,10,R20170921-30107481,P0MM00FHDHS,女性,70代,1130,193,0,0,J0241064000000,塩紅さけ（かま）,,1,316,0,0,1,1,0,1
1758,1758,263,20170921,10,R20170921-30107481,P0MM00FHDHS,女性,70代,1150,176,1,1,J0267601000000,シキサイ  アサヅケ,,1,124,0,0,0,0,0,199
1759,1759,263,20170921,10,R20170921-30107481,P0MM00FHDHS,女性,70代,1150,176,1,1,J0267604000000,シキサイ  タクアン,,1,200,0,0,0,0,0,199
1760,1760,263,20170921,10,R20170921-30107481,P0MM00FHDHS,女性,70代,1120,120,0,4,J0280021000000,黒毛和牛肩ロースうすぎり,８０ｇ,1,363,1,363,1,1,0,1
1761,1761,263,20170921,10,R20170921-30107481,P0MM00FHDHS,女性,70代,1120,123,8,5,J0283103000000,国産鶏肉モモ肉ミンチ,１００ｇ,1,112,0,0,1,0,0,1
1762,1762,263,20170921,10,R20170921-30107481,P0MM00FHDHS,女性,70代,1120,124,1,8,J0287551000000,薩摩もち豚ロースしゃぶしゃぶ用,１５０ｇ,1,497,0,0,1,1,0,1
1763,1763,263,20170921,10,R20170921-30107481,P0MM00FHDHS,女性,70代,1120,124,1,8,J0287551000000,薩摩もち豚ロースしゃぶしゃぶ用,１５０ｇ,1,527,0,0,1,1,0,1
1764,1764,263,20170921,10,R20170921-30107481,P0MM00FHDHS,女性,70代,1110,110,1,3,J0400100012925,キヤベツ  Ｌサイズ,,1,249,0,0,1,0,0,250
1765,1765,263,20170921,10,R20170921-30107481,P0MM00FHDHS,女性,70代,1110,110,2,1,J0400100013403,ハクサイ  １／４,,1,137,0,0,1,0,0,138
1766,1766,263,20170921,10,R20170921-30107481,P0MM00FHDHS,女性,70代,1110,110,6,1,J0400100017579,玉ねぎ,,1,29,0,0,0,0,0,29
1767,1767,263,20170921,10,R20170921-30107481,P0MM00FHDHS,女性,70代,1110,110,6,2,J0400100017661,ジャガイモ,,2,78,0,0,0,0,0,39
1768,1768,263,20170921,10,R20170921-30107481,P0MM00FHDHS,女性,70代,1140,151,3,3,J0401550020171,☆ふわぽたいなり（黒ごま入）５個,,1,167,0,0,1,0,0,168
1769,1769,263,20170921,10,R20170921-30107481,P0MM00FHDHS,女性,70代,1140,151,4,3,J0401550033447,☆おにぎり（焼しゃけ）  １便,,1,96,0,0,1,0,0,98
1770,1770,263,20170921,10,R20170921-30107481,P0MM00FHDHS,女性,70代,1140,151,4,3,J0401550033461,☆おにぎり（ツナマヨ）,,1,96,0,0,1,0,0,98
1771,1771,263,20170921,10,R20170921-30107481,P0MM00FHDHS,女性,70代,1140,151,3,3,J0401550034376,☆昔ながらの巻寿司,,2,594,0,0,2,1,0,298
1772,1772,263,20170921,10,R20170921-30107481,P0MM00FHDHS,女性,70代,1110,110,5,1,J4531231002281,ささがきごぼう  １００ｇカント,１２０ニチ,1,196,0,0,1,0,0,198
1773,1773,263,20170921,10,R20170921-30107481,P0MM00FHDHS,女性,70代,1150,162,1,1,J4560279103957,男前豆腐店  男の３連チャン,８０ｇｘ３,1,131,0,0,1,0,0,133
1774,1774,263,20170921,10,R20170921-30107481,P0MM00FHDHS,女性,70代,1150,161,3,2,J4571364730231,デイリーエッグ  伊賀からの便り赤玉,１０コイリ,1,227,0,0,1,0,0,228
1775,1775,263,20170921,10,R20170921-30107481,P0MM00FHDHS,女性,70代,1150,173,1,0,J4901408131579,神戸屋  さっくり食パン,２枚入,2,199,0,0,2,0,0,100
1776,1776,263,20170921,10,R20170921-30107481,P0MM00FHDHS,女性,70代,1120,126,8,9,J4902150354681,くらしモアおさかなのソーセージ５本束,７０ｇ＊５,1,237,0,0,1,37,0,275
1777,1777,263,20170921,10,R20170921-30107481,P0MM00FHDHS,女性,70代,1150,169,1,1,J4902160200565,くらしモアみどりの国牛乳,１０００ｍｌ,1,167,0,0,1,12,0,180
1778,1778,263,20170921,10,R20170921-30107481,P0MM00FHDHS,女性,70代,1150,173,1,1,J4902410209744,フジネオバターロール,６個入,1,146,0,0,1,41,0,188
1779,1779,263,20170921,10,R20170921-30107481,P0MM00FHDHS,女性,70代,1150,173,1,2,J4902410497950,フジ  銀チョコＷ,,2,199,0,0,2,15,0,108
1780,1780,263,20170921,10,R20170921-30107481,P0MM00FHDHS,女性,70代,1150,173,1,2,J4902410513155,フジ  森の切り株,,1,106,0,0,1,0,0,108
1781,1781,263,20170921,10,R20170921-30107481,P0MM00FHDHS,女性,70代,1150,173,1,2,J4902410777298,フジミニマドレーヌチョコチップ,４個入,1,99,0,0,1,8,0,108
1782,1782,263,20170921,10,R20170921-30107481,P0MM00FHDHS,女性,70代,1210,219,1,1,J4902475263514,ヒガシマル  よせ鍋つゆ,４００ｍｌ,1,188,0,0,1,0,0,189
1783,1783,263,20170921,10,R20170921-30107481,P0MM00FHDHS,女性,70代,1150,165,2,1,J4902553007719,ふじっ子  海のやさい  しそ昆布,１１５ｇ,1,207,0,0,1,0,0,209
1784,1784,263,20170921,10,R20170921-30107481,P0MM00FHDHS,女性,70代,1150,165,2,1,J4902553007733,ふじっ子  海のやさい  さんしょ昆布,１０５ｇ,1,207,0,0,1,0,0,209
1785,1785,263,20170921,10,R20170921-30107481,P0MM00FHDHS,女性,70代,1150,173,1,1,J4903110020097,ヤマザキ  黒糖入テーブルロール,６個入,1,159,0,0,1,0,0,161
1786,1786,263,20170921,10,R20170921-30107481,P0MM00FHDHS,女性,70代,1150,173,1,2,J4903110021322,ヤマザキあんぱん,,1,81,0,0,1,6,0,88
1787,1787,263,20170921,10,R20170921-30107481,P0MM00FHDHS,女性,70代,1150,173,1,2,J4903110021353,ヤマザキクリームパン,,1,81,0,0,1,6,0,88
1788,1788,263,20170921,10,R20170921-30107481,P0MM00FHDHS,女性,70代,1150,173,1,2,J4903110021438,ヤマザキナイススティック,,1,106,0,0,1,0,0,108
1789,1789,263,20170921,10,R20170921-30107481,P0MM00FHDHS,女性,70代,1150,173,1,2,J4903110063278,ヤマザキ  薄皮つぶあん,５個入,1,106,0,0,1,31,0,138
1790,1790,263,20170921,10,R20170921-30107481,P0MM00FHDHS,女性,70代,1150,173,1,2,J4904501031418,第一  大きなスイートポテトデニッシュ,１個入,1,106,0,0,1,0,0,108
1791,1791,263,20170921,10,R20170921-30107481,P0MM00FHDHS,女性,70代,1110,110,3,5,J4908380384023,エノキ  （大）,,1,68,0,0,0,0,0,68
1792,1792,263,20170921,10,R20170921-30107481,P0MM00FHDHS,女性,70代,1110,115,2,1,J4908380440002,桃全農長野,１パック,1,596,0,0,1,1,0,598
1793,1793,263,20170921,10,R20170921-30107481,P0MM00FHDHS,女性,70代,1130,193,5,0,J4931777200200,（紀州御坊）釜揚げしらす個食,３０ｇ,1,137,0,0,1,0,0,138
1794,1794,263,20170921,10,R20170921-30107481,P0MM00FHDHS,女性,70代,1130,193,5,0,J4931777200859,＜財文水産＞塩分ひかえめ  釜揚げしら,２５ｇ×２,1,227,0,0,1,0,0,228
1795,1795,263,20170921,10,R20170921-30107481,P0MM00FHDHS,女性,70代,1150,168,3,1,J4955819702019,めん楽  パックきつねうどん,１パック,1,81,0,0,1,14,0,97
1796,1796,263,20170921,10,R20170921-30107481,P0MM00FHDHS,女性,70代,1110,115,9,7,J4968102011705,朝のしあわせバナナ,フクロ,1,96,0,0,1,0,0,98
1797,1797,263,20170921,10,R20170921-30107481,P0MM00FHDHS,女性,70代,1110,110,1,2,J4982909843888,理由ありとまと,袋,1,249,0,0,1,0,0,250
1798,1798,263,20170921,10,R20170921-30107481,P0MM00FHDHS,女性,70代,1110,110,3,3,J4985761100014,ブナシメジ,,1,96,0,0,1,0,0,98
1799,1799,263,20170921,10,R20170921-30107481,P0MM00FHDHS,女性,70代,1110,110,4,8,J4990603271111,おくら,ネット,1,127,0,0,1,0,0,128
1800,1800,263,20170921,10,R20170921-30107481,P0MM00FHDHS,女性,70代,1150,173,2,4,J4992386001138,富屋  おはぎ４個,,1,222,1,56,1,0,0,280
1801,1801,263,20170921,10,R20170921-30107481,P0MM00FHDHS,女性,70代,1110,110,0,1,J4997262001004,ホーレン草  大束,束,1,128,1,128,1,0,0,258
1802,1802,263,20170921,10,R20170921-30107483,P0NW50AHGCS,女性,70代,1110,115,3,4,J0400150012166,豊水梨  ２Ｌ,３２入りケース,2,315,0,0,0,0,0,158
1803,1803,263,20170921,10,R20170921-30107483,P0NW50AHGCS,女性,70代,1150,164,4,2,J4901385184490,かき氷  白みつ,１５０ｍｌ,5,306,0,0,5,69,0,75
1804,1804,263,20170921,10,R20170921-30107483,P0NW50AHGCS,女性,70代,1150,164,4,2,J4901385184575,かき氷  いちご,１５０ｍｌ,5,319,0,0,5,55,0,75
1805,1805,263,20170921,10,R20170921-30107483,P0NW50AHGCS,女性,70代,1150,173,2,9,J4901820338693,パスコ  なごやん,５個入,1,257,0,0,1,18,0,276
1806,1806,263,20170921,10,R20170921-30107483,P0NW50AHGCS,女性,70代,1150,169,1,1,J4902160200565,くらしモアみどりの国牛乳,１０００ｍｌ,1,168,0,0,1,12,0,180
1807,1807,263,20170921,10,R20170921-30107483,P0NW50AHGCS,女性,70代,1150,173,1,0,J4902410102724,フジ本仕込食パン,６枚入,1,138,0,0,1,39,0,178
1808,1808,263,20170921,10,R20170921-30107483,P0NW50AHGCS,女性,70代,1150,173,1,1,J4902410209249,フジネオレーズンバターロール,６個入,1,147,0,0,1,40,0,188
1809,1809,263,20170921,10,R20170921-30107483,P0NW50AHGCS,女性,70代,1150,169,1,5,J4903080211242,ヤクルトゴールド,６５ｍｌ×４,1,200,0,0,0,0,0,200
1810,1810,263,20170921,10,R20170921-30107483,P0NW50AHGCS,女性,70代,1110,115,9,7,J4932551126594,プレシヤスバナナ,１フクロ,1,178,0,0,0,0,0,178
1811,1811,263,20170921,10,R20170921-30107484,P5PQ30GKJGS,女性,60代,1130,191,4,4,J0232020000000,キンメダイ,,1,491,0,0,1,6,0,1
1812,1812,263,20170921,10,R20170921-30107484,P5PQ30GKJGS,女性,60代,1130,191,3,4,J0232200000000,ハモ  （ホネキリ）,,1,590,0,0,1,7,0,1
1813,1813,263,20170921,10,R20170921-30107484,P5PQ30GKJGS,女性,60代,1130,191,4,6,J0235070000000,アオリイカ,,2,784,0,0,2,10,0,1
1814,1814,263,20170921,10,R20170921-30107484,P5PQ30GKJGS,女性,60代,1120,121,3,3,J0288103000000,国産交雑牛モモひとくちステーキ,１５０ｇ,1,592,0,0,1,7,0,1
1815,1815,263,20170921,10,R20170921-30107484,P5PQ30GKJGS,女性,60代,1130,193,3,3,J4562122301084,＜かね七＞さんま桜干し,２枚,1,314,1,79,1,3,0,398
1816,1816,263,20170921,10,R20170921-30107484,P5PQ30GKJGS,女性,60代,1150,169,1,3,J4902720116237,森永マウントレーニアエスプレッソ,２４０ｍｌ,1,99,0,0,1,23,0,123
1817,1817,263,20170921,10,R20170921-30107484,P5PQ30GKJGS,女性,60代,1130,191,0,1,J4945497853431,めばちまぐろ切落とし１００ｇ,,2,784,0,0,2,10,0,398
1818,1818,263,20170921,10,R20170921-30107485,P5LW00FCAJS,女性,50代,1130,191,3,5,J0231608000000,テンネンブリ,,1,625,0,0,0,0,0,1
1819,1819,263,20170921,10,R20170921-30107485,P5LW00FCAJS,女性,50代,1130,191,3,5,J0231608000000,テンネンブリ,,1,580,0,0,0,0,0,1
1820,1820,263,20170921,10,R20170921-30107485,P5LW00FCAJS,女性,50代,1120,123,8,1,J0283202000000,合挽きミンチ（解凍）,２３０ｇ,1,206,0,0,0,0,0,1
1821,1821,263,20170921,10,R20170921-30107485,P5LW00FCAJS,女性,50代,1120,124,0,1,J0284034000000,国産豚肉バラうすぎり,３００ｇ,1,489,0,0,0,0,0,1
1822,1822,263,20170921,10,R20170921-30107485,P5LW00FCAJS,女性,50代,1110,110,5,1,J4535779000815,山菜ミックス水煮,,2,194,0,0,0,0,0,98
1823,1823,263,20170921,10,R20170921-30107485,P5LW00FCAJS,女性,50代,1110,110,5,1,J4535779000860,ぜんまい水煮  ８０ｇ,１８０日,1,97,0,0,0,0,0,98
1824,1824,263,20170921,10,R20170921-30107485,P5LW00FCAJS,女性,50代,1150,170,1,1,J4901112680370,ダノン  ダノンヨーグルトバニラ風味,７５ｇ×４,1,97,0,0,1,40,0,138
1825,1825,263,20170921,10,R20170921-30107485,P5LW00FCAJS,女性,50代,1150,167,1,1,J4901320144190,カネテツ  神戸づくり蒲鉾  赤,９０ｇ,1,97,0,0,0,0,0,98
1826,1826,263,20170921,10,R20170921-30107485,P5LW00FCAJS,女性,50代,1150,173,1,2,J4902410497950,フジ  銀チョコＷ,,1,100,0,0,1,7,0,108
1827,1827,263,20170921,10,R20170921-30107485,P5LW00FCAJS,女性,50代,1150,173,1,2,J4903110033721,ヤマザキ薄皮モカコーヒークリームパン,５個入,1,107,0,0,1,30,0,138
1828,1828,263,20170921,10,R20170921-30107485,P5LW00FCAJS,女性,50代,1150,173,1,1,J4903110249825,ヤマザキ  イチゴスペシャルミニ,４個入,1,178,0,0,0,0,0,178
1829,1829,263,20170921,10,R20170921-30107485,P5LW00FCAJS,女性,50代,1110,110,0,6,J4908735328047,ニラ,袋,1,128,0,0,0,0,0,128
1830,1830,263,20170921,10,R20170921-30107485,P5LW00FCAJS,女性,50代,1150,161,2,1,J49377743     ,たまごＭ寸,１０Ｈ,1,184,0,0,0,0,0,185
1831,1831,263,20170921,10,R20170921-30107485,P5LW00FCAJS,女性,50代,1150,162,1,1,J4958293004921,オークワ食品工場  木綿とうふ,３３０ｇ,2,93,0,0,0,0,0,47
1832,1832,263,20170921,10,R20170921-30107485,P5LW00FCAJS,女性,50代,1150,168,1,2,J4958293007304,オークワ  焼そば３食ソース付  塩味,３食入,1,90,0,0,1,4,0,95
1833,1833,263,20170921,10,R20170921-30107485,P5LW00FCAJS,女性,50代,1110,115,9,7,J4968102011705,朝のしあわせバナナ,フクロ,1,97,0,0,0,0,0,98
1834,1834,263,20170921,10,R20170921-30107485,P5LW00FCAJS,女性,50代,1150,169,1,1,J4970290012549,いかるが  なにわの牛乳,１０００ｍｌ,1,157,0,0,1,22,0,180
1835,1835,263,20170921,10,R20170921-30107485,P5LW00FCAJS,女性,50代,1110,110,6,2,J4982909709283,ベビーポテト,１フクロ,1,97,0,0,0,0,0,98
1836,1836,263,20170921,10,R20170921-30107485,P5LW00FCAJS,女性,50代,1110,110,3,6,J4985761800006,ホクトマイタケ,１フクロ,1,97,0,0,0,0,0,98
1837,1837,263,20170921,10,R20170921-30107486,P0MW00BKBCS,女性,60代,1110,110,6,6,J0210153000000,ナガイモ（カツト）,１パツク,1,116,0,0,0,0,0,1
1838,1838,263,20170921,10,R20170921-30107486,P0MW00BKBCS,女性,60代,1110,119,8,1,J0219850000000,ブツカ  パツク,,2,737,0,0,0,0,0,475
1839,1839,263,20170921,10,R20170921-30107486,P0MW00BKBCS,女性,60代,1130,191,3,5,J0231608000000,テンネンブリ,,1,450,0,0,0,0,0,1
1840,1840,263,20170921,10,R20170921-30107486,P0MW00BKBCS,女性,60代,1140,152,1,2,J0257014000000,天ぷら  ばら売り,,2,194,0,0,0,0,0,98
1841,1841,263,20170921,10,R20170921-30107486,P0MW00BKBCS,女性,60代,1120,120,4,3,J0280928000000,山形牛カタ焼肉用,インストア,1,981,0,0,0,0,0,1
1842,1842,263,20170921,10,R20170921-30107486,P0MW00BKBCS,女性,60代,1120,124,1,1,J0284649000000,国産豚肉ロースしゃぶしゃぶ用,１５０ｇ,1,418,0,0,0,0,0,1
1843,1843,263,20170921,10,R20170921-30107486,P0MW00BKBCS,女性,60代,1210,211,1,1,J4514603347111,アサヒ  三ツ矢サイダーゼロストロング,５００ｍｌ,1,72,0,0,1,16,0,89
1844,1844,263,20170921,10,R20170921-30107486,P0MW00BKBCS,女性,60代,1210,216,1,0,J4902110304022,日清Ｆ  ママースパゲティ１．４ｍｍ,３００ｇ,1,188,0,0,0,0,0,188
1845,1845,263,20170921,10,R20170921-30107486,P0MW00BKBCS,女性,60代,1150,167,3,6,J4902160210786,くらしモアカネテツ  野菜フライ,２枚入り,1,72,0,0,1,24,0,97
1846,1846,263,20170921,10,R20170921-30107486,P0MW00BKBCS,女性,60代,1150,170,1,1,J4902720117562,森永ビヒダスナタデココヨーグルト４Ｐ,７５ｇ×４,1,157,0,0,0,0,0,158
1847,1847,263,20170921,10,R20170921-30107486,P0MW00BKBCS,女性,60代,1150,173,1,0,J4903110028833,ヤマザキ  ピュアモーニング,５枚切,1,75,1,19,0,0,0,95
1848,1848,263,20170921,10,R20170921-30107486,P0MW00BKBCS,女性,60代,1150,173,1,1,J4903110112594,ヤマザキ北海道産小麦のレーズンロール,６個入,1,168,0,0,0,0,0,168
1849,1849,263,20170921,10,R20170921-30107486,P0MW00BKBCS,女性,60代,1110,110,0,0,J4922315000000,コマツナ,,1,97,0,0,0,0,0,98
1850,1850,263,20170921,10,R20170921-30107486,P0MW00BKBCS,女性,60代,1110,115,9,7,J4932551126877,ミニオンバナナ,,1,178,0,0,0,0,0,178
1851,1851,263,20170921,10,R20170921-30107486,P0MW00BKBCS,女性,60代,1150,161,2,1,J49377743     ,たまごＭ寸,１０Ｈ,1,184,0,0,0,0,0,185
1852,1852,263,20170921,10,R20170921-30107486,P0MW00BKBCS,女性,60代,1150,162,1,1,J4958293004556,オークワ  かためきぬこし,３３０ｇ,1,68,0,0,1,10,0,78
1853,1853,263,20170921,10,R20170921-30107486,P0MW00BKBCS,女性,60代,1150,170,1,1,J4971777022365,日本ルナ  バニラヨーグルト,１００ｇｘ３,1,165,0,0,0,0,0,165
1854,1854,263,20170921,10,R20170921-30107487,P6NP10FGFKS,女性,50代,1110,115,9,7,J4902160423421,くらしモアバナナ,,1,98,0,0,0,0,0,98
1855,1855,263,20170921,10,R20170921-30107488,P7NU30GFBBS,女性,40代,1120,125,9,1,J0285011000000,国産若鶏モモ肉１枚,２５０ｇ,1,359,0,0,0,0,0,1
1856,1856,263,20170921,10,R20170921-30107488,P7NU30GFBBS,女性,40代,1110,115,8,0,J0400150018236,りんごバラ売り,,2,195,0,0,0,0,0,98
1857,1857,263,20170921,10,R20170921-30107488,P7NU30GFBBS,女性,40代,1130,193,7,1,J4971091153219,中国産  湯通し塩蔵わかめ,１７０ｇ,1,158,0,0,0,0,0,158
1858,1858,263,20170921,10,R20170921-30107489,P7TS40FBHKS,男性,60代,1120,120,0,7,J0280934000000,山形牛小間切れうすぎり,インストア,1,383,0,0,0,0,0,1
1859,1859,263,20170921,10,R20170921-30107489,P7TS40FBHKS,男性,60代,1110,115,3,1,J0400150012050,２０セーキ梨  ２Ｌ,３２入りケース,2,315,0,0,0,0,0,158
1860,1860,263,20170921,10,R20170921-30107489,P7TS40FBHKS,男性,60代,1210,215,1,1,J4902105245316,日清食品  麺職人  しょうゆ,カップ,1,100,0,0,1,39,0,140
1861,1861,263,20170921,10,R20170921-30107489,P7TS40FBHKS,男性,60代,1150,169,1,6,J4903080216087,ヤクルト  ジョアブルーベリー,１２５ｍｌ,2,200,0,0,0,0,0,100
1862,1862,263,20170921,10,R20170921-30107489,P7TS40FBHKS,男性,60代,1150,173,1,9,J4903110413097,ヤマザキ  ホワイトデニッシュショコラ,,1,107,0,0,0,0,0,108
1863,1863,263,20170921,10,R20170921-30107489,P7TS40FBHKS,男性,60代,1150,168,1,1,J4958293003887,オークワ  北海道産小麦使用うどん,２００ｇ,1,30,1,7,0,0,0,38
1864,1864,263,20170921,10,R20170921-30107489,P7TS40FBHKS,男性,60代,1150,168,1,3,J4958293007137,オークワ  五割そば,１５０ｇ,1,57,0,0,0,0,0,58
1865,1865,263,20170921,10,R20170921-30107489,P7TS40FBHKS,男性,60代,1150,168,4,1,J4958293007250,オークワ  うどん・そばだし,３００ｇ,2,130,0,0,2,5,0,68
1866,1866,263,20170921,10,R20170921-30107489,P7TS40FBHKS,男性,60代,1110,110,5,5,J4982909715895,カツトネギ,８０Ｇ,1,157,0,0,0,0,0,158
1867,1867,263,20170921,10,R20170921-30107489,P7TS40FBHKS,男性,60代,1150,173,2,8,J4992386000124,富屋和菓子,２個入,1,140,0,0,0,0,0,140
1868,1868,263,20170921,10,R20170921-30107490,P6US60FHAES,男性,50代,1150,173,2,0,J4992386004085,富屋  小餅  ５００Ｇ,,1,553,0,0,0,0,0,553
1869,1869,263,20170921,10,R20170921-30107491,非会員,不明,不明,1140,153,1,3,J0251271000000,お好み焼,,1,385,0,0,0,0,0,1
1870,1870,263,20170921,10,R20170921-30107491,非会員,不明,不明,1140,151,4,3,J0401550004300,☆おにぎり２個入（鶏五目）,,1,159,0,0,0,0,0,160
1871,1871,263,20170921,10,R20170921-30107491,非会員,不明,不明,1210,211,2,1,J4902102112185,コカ・コーラ  綾鷹,２Ｌ,1,128,0,0,1,61,0,189
1872,1872,263,20170921,10,R20170921-30107492,P3WM70FHDGS,女性,70代,1150,167,2,1,J4901320143995,カネテツ  鯛入ちくわ,５本入,1,143,0,0,1,54,0,198
1873,1873,263,20170921,10,R20170921-30107492,P3WM70FHDGS,女性,70代,1210,212,1,5,J4901401040915,カンピー  ブルーベリージャム,７８０ｇ,1,287,0,0,1,129,0,418
1874,1874,263,20170921,10,R20170921-30107492,P3WM70FHDGS,女性,70代,1210,221,1,1,J4902160118761,くらしモア  食卓名人生わさび,４３ｇ,1,85,0,0,1,9,0,95
1875,1875,263,20170921,10,R20170921-30107492,P3WM70FHDGS,女性,70代,1150,165,1,1,J4902160211226,くらしモアマルヤナギ  低糖  金時豆,１５０ｇ,1,146,0,0,1,4,0,151
1876,1876,263,20170921,10,R20170921-30107492,P3WM70FHDGS,女性,70代,1110,110,5,5,J4902160422882,野菜炒め  ミックスもやし  ２３０ｇ,,1,87,0,0,1,2,0,90
1877,1877,263,20170921,10,R20170921-30107492,P3WM70FHDGS,女性,70代,1150,169,1,1,J4902705100787,明治  おいしい牛乳,５００ｍｌ,1,128,0,0,1,4,0,133
1878,1878,263,20170921,10,R20170921-30107492,P3WM70FHDGS,女性,70代,1150,173,1,2,J4903110063278,ヤマザキ  薄皮つぶあん,５個入,1,104,0,0,1,34,0,138
1879,1879,263,20170921,10,R20170921-30107492,P3WM70FHDGS,女性,70代,1210,217,1,2,J4907122533453,くらしモア  はるさめ  小分けタイプ,１０ｇ×８,1,97,0,0,1,2,0,100
1880,1880,263,20170921,10,R20170921-30107492,P3WM70FHDGS,女性,70代,1110,110,5,5,J4982909839010,キャベツスライス  サンライズ,,1,94,0,0,1,2,0,97
1881,1881,263,20170921,10,R20170921-30107492,P3WM70FHDGS,女性,70代,1110,110,1,2,J4982909843888,理由ありとまと,袋,1,242,0,0,1,8,0,250
1882,1882,263,20170921,10,R20170921-30107493,P1UP60FCFFS,女性,60代,1130,191,4,2,J0231400000000,ヒラアジ,,1,297,0,0,0,0,0,125
1883,1883,263,20170921,10,R20170921-30107493,P1UP60FCFFS,女性,60代,1140,152,2,2,J0251056000000,広島産カキフライ（２５ｇサイズ）小量,,1,200,0,0,0,0,0,1
1884,1884,263,20170921,10,R20170921-30107493,P1UP60FCFFS,女性,60代,1110,110,4,1,J0400100013991,ナスビ  バラ  Ｌ  ２Ｋ,ケース,2,97,0,0,2,17,0,58
1885,1885,263,20170921,10,R20170921-30107493,P1UP60FCFFS,女性,60代,1110,115,8,0,J0400150018236,りんごバラ売り,,1,97,0,0,0,0,0,98
1886,1886,263,20170921,10,R20170921-30107493,P1UP60FCFFS,女性,60代,1140,151,4,3,J0401550004300,☆おにぎり２個入（鶏五目）,,1,159,0,0,0,0,0,160
1887,1887,263,20170921,10,R20170921-30107493,P1UP60FCFFS,女性,60代,1150,168,4,1,J4901366008470,フードリエ麺好亭とりがら醤油スープ,,1,56,0,0,0,0,0,56
1888,1888,263,20170921,10,R20170921-30107493,P1UP60FCFFS,女性,60代,1210,219,1,0,J4901515122514,キッコーマン  味わいリッチ減塩醤油,４５０ｍｌ,1,257,0,0,1,10,0,268
1889,1889,263,20170921,10,R20170921-30107493,P1UP60FCFFS,女性,60代,1210,220,1,0,J4901740151655,シマヤ  いりこだしの素,８ｇＸ７,1,97,0,0,1,2,0,100
1890,1890,263,20170921,10,R20170921-30107493,P1UP60FCFFS,女性,60代,1210,210,1,0,J4902160119041,くらしモア  パインアップルスライス,５６５ｇ,1,168,0,0,0,0,0,168
1891,1891,263,20170921,10,R20170921-30107493,P1UP60FCFFS,女性,60代,1150,168,4,2,J4902160211875,くらしモア  味付けメンマ,７０ｇ,1,118,0,0,1,10,0,128
1892,1892,263,20170921,10,R20170921-30107493,P1UP60FCFFS,女性,60代,1210,221,1,1,J4902402652930,ハウス  ねり和からし,４３ｇ,1,97,0,0,1,11,0,109
1893,1893,263,20170921,10,R20170921-30107493,P1UP60FCFFS,女性,60代,1150,173,1,2,J4902410416104,フジ  黒コッペ,,1,100,0,0,1,7,0,108
1894,1894,263,20170921,10,R20170921-30107493,P1UP60FCFFS,女性,60代,1110,110,5,6,J4905217193896,緑豆もやし,アスナ,1,19,0,0,0,0,0,19
1895,1895,263,20170921,10,R20170921-30107493,P1UP60FCFFS,女性,60代,1150,168,1,2,J4955819700374,めん楽  中華そば,１５０ｇ,1,17,0,0,1,10,0,27
1896,1896,263,20170921,10,R20170921-30107493,P1UP60FCFFS,女性,60代,1150,169,1,2,J4971666404012,グリコ  カルシウムと鉄分の多いミルク,１０００ｍｌ,1,155,0,0,1,5,0,161
1897,1897,263,20170921,10,R20170921-30107493,P1UP60FCFFS,女性,60代,1150,162,1,2,J4971896668574,京都タンパク  京都の大名揚げ,１枚,1,118,1,29,0,0,0,148
1898,1898,263,20170921,10,R20170921-30107493,P1UP60FCFFS,女性,60代,1110,110,1,2,J4982909843888,理由ありとまと,袋,1,250,0,0,0,0,0,250
1899,1899,263,20170921,10,R20170921-30107494,P0NN20FFCAS,女性,70代,1130,191,9,4,J0237122000000,ヤキザカナ  （サンマ）,,1,189,0,0,1,8,0,1
1900,1900,263,20170921,10,R20170921-30107494,P0NN20FFCAS,女性,70代,1120,122,5,3,J0282608000000,ローストビーフ土佐づくり,ＰＫ,1,381,0,0,1,15,0,1
1901,1901,263,20170921,10,R20170921-30107494,P0NN20FFCAS,女性,70代,1110,110,1,1,J0400100012680,キユーリ  バラ,,1,56,0,0,1,1,0,58
1902,1902,263,20170921,10,R20170921-30107494,P0NN20FFCAS,女性,70代,1150,170,1,1,J4901112100076,ダノン  デンシアプレーン・砂糖不使用,８０ｇｘ４,1,181,0,0,1,16,0,198
1903,1903,263,20170921,10,R20170921-30107494,P0NN20FFCAS,女性,70代,1210,211,1,5,J4901777232938,サントリー  ビックル,５００ｍｌ,1,85,0,0,1,3,0,89
1904,1904,263,20170921,10,R20170921-30107494,P0NN20FFCAS,女性,70代,1150,173,1,0,J4901820161420,パスコ  超熟,５枚入,1,134,1,35,1,8,0,178
1905,1905,263,20170921,10,R20170921-30107494,P0NN20FFCAS,女性,70代,1150,173,1,9,J4903110069225,ヤマザキスィートブール,,1,82,1,22,1,3,0,108
1906,1906,263,20170921,10,R20170921-30107495,P1LS10FFABS,女性,40代,1150,173,1,7,J4525896001024,名方セレクトパン,ゴゴ,1,77,1,19,0,0,0,97
